id,msg,color
int,str,str
1,<val1>は<val2>ダメージを受けた,yellow
2,<val1>に<val2>ダメージを与えた,orange
3,<val1>の攻撃,white
4,<val1>を倒した,white
5,戦闘に勝利した,white
6,<val1>は力尽きた……,red
7,<val1>は<val2>を使った,white
8,<val1>のHPが<val2>回復した,blue
9,<val1>は逃げ出した,white
10,<val1>は<val2>を落とした,orange
11,<val1>を手に入れた,green
12,アイテムが一杯で拾うことができない,green
13,<val1>を捨てて<val2>を手に入れた,green
14,<val1>をあきらめた,green
15,捨てるアイテムを選択してください,white
16,<val1>の経験値を獲得した,green
17,<val1>はレベルアップした,orange
18,<val1>はHPが全回復した,blue
19,<val1>は<val2>を発動した,green
20,<val1>は攻撃をかわした,green
21,<val1>に効果はなかった,green
22,<val1>は力尽きた,red
23,<val1>に毒を与えた,yellow
24,<val1>は混乱した,yellow
25,<val1>のスキルを封印した,yellow
26,<val1>は麻痺した,yellow
27,<val1>は眠った,yellow
28,<val1>は盲目になった,yellow
29,<val1>は呪われた,yellow
30,<val1>は衰弱した,yellow
31,HPが足りない,yellow
32,TPが足りない,yellow
33,しかし逃げることはできなかった,yellow
34,<val1>は眠っている,white
35,<val1>のスキルは封印されている,white
36,<val1>は痺れて動けない,white
37,<val1>の攻撃力がアップした,yellow
38,<val1>の防御力力がアップした,yellow
39,<val1>の素早さがアップした,yellow
40,<val1>の攻撃力がダウンした,yellow
41,<val1>の防御力力がダウンした,yellow
42,<val1>の素早さがダウンした,yellow
43,<val1>を<val2>Gで購入した,green
44,<val1>を<val2>Gで売却した,orange
45,<val1>を捨てた,green
46,<val1>の最大HPが<val2>上昇した,green
47,<val1>の力が<val2>上昇した,green
48,<val1>の体力が<val2>上昇した,green
49,<val1>の素早さが<val2>上昇した,green
50,<val1>の魔力が<val2>上昇した,green
51,<val1>のTPが<val2>回復した,blue
52,スキル所持数が最大なので購入できません,yellow
53,<val1>は様子を見ている,white
54,<val1>が現れた,white
55,次のフロアへ進む道を見つけた,white
56,<val1>は砕け散った,yellow
57,食糧を<val1>つ手に入れた,green
58,少し休んだ,white
